Wall time,Step,Value
1642194881.8230212,1,-9.221813201904297
1642194912.6973057,2,-1.3683807849884033
1642194943.7610657,3,3.1130568981170654
1642194975.1939912,4,-4.389667987823486
1642195006.6794074,5,-5.011086940765381
1642195038.47044,6,4.850339412689209
1642195070.011571,7,-11.8855619430542
1642195101.745647,8,7.675159931182861
1642195133.407228,9,7.857275009155273
1642195164.9103394,10,7.959122180938721
1642195196.38368,11,6.311567783355713
1642195228.0295203,12,8.237310409545898
1642195259.4764202,13,8.16484260559082
1642195291.0312293,14,8.136384963989258
1642195322.8347137,15,8.540218353271484
1642195354.338436,16,7.9740309715271
1642195385.879582,17,7.9500203132629395
1642195417.454081,18,8.820075988769531
1642195449.1515384,19,8.565214157104492
1642195480.727151,20,8.28841495513916
1642195512.5108385,21,8.120809555053711
1642195544.2089272,22,8.13277530670166
1642195575.9072323,23,8.362156867980957
1642195607.6224353,24,8.875428199768066
1642195639.276131,25,8.875692367553711
1642195670.8880868,26,8.183409690856934
1642195702.3698158,27,8.495200157165527
1642195733.857137,28,8.933154106140137
1642195765.518907,29,7.9100871086120605
1642195797.0318775,30,8.294181823730469
1642195828.6923974,31,8.676806449890137
1642195860.2634284,32,8.040940284729004
1642195892.0190916,33,8.59393310546875
1642195923.7464447,34,8.118552207946777
1642195955.2704105,35,8.951234817504883
1642195986.7615497,36,8.152693748474121
1642196018.292276,37,8.268471717834473
1642196050.049886,38,8.5135498046875
1642196081.5633879,39,7.675380706787109
1642196113.1973553,40,8.13147258758545
1642196144.9249902,41,7.306328296661377
1642196176.3485534,42,8.058281898498535
1642196208.0043223,43,7.340816497802734
1642196239.640665,44,8.586295127868652
1642196271.405416,45,7.676462173461914
1642196303.0127506,46,8.869891166687012
1642196334.592179,47,8.766523361206055
1642196366.364816,48,8.551382064819336
1642196398.1370645,49,8.65090560913086
1642196429.660637,50,8.135188102722168
1642196461.2071066,51,8.528252601623535
1642196492.9111915,52,8.290753364562988
1642196524.5616257,53,8.80921745300293
1642196556.1141346,54,8.13277530670166
1642196587.738343,55,6.2081499099731445
1642196619.494077,56,8.677850723266602
1642196651.2170074,57,8.521180152893066
1642196682.9485526,58,9.157931327819824
1642196714.7880666,59,8.875078201293945
1642196746.595342,60,8.6803560256958
1642196778.2325847,61,8.671974182128906
1642196809.819204,62,1.592241644859314
1642196841.4819715,63,8.877301216125488
1642196873.1752534,64,8.832502365112305
1642196904.7864153,65,9.152563095092773
1642196936.5597038,66,8.677850723266602
1642196968.26294,67,8.120809555053711
1642196999.7667994,68,8.766523361206055
1642197031.3655732,69,8.993000984191895
1642197063.1237912,70,7.673806190490723
1642197094.7251947,71,8.400858879089355
1642197126.395987,72,8.467493057250977
1642197158.0789597,73,9.080465316772461
1642197189.764268,74,7.167287349700928
1642197221.493939,75,9.059321403503418
1642197253.1867523,76,9.073698043823242
1642197284.635539,77,9.167236328125
1642197316.2139864,78,9.085290908813477
1642197347.908032,79,8.613189697265625
1642197379.6478014,80,8.554366111755371
1642197411.0538056,81,7.966823577880859
1642197442.8427694,82,8.758780479431152
1642197474.7005944,83,7.852443695068359
1642197506.4674394,84,9.167236328125
1642197538.151915,85,9.157931327819824
1642197569.8860538,86,9.012693405151367
1642197601.6345656,87,9.089493751525879
1642197633.4205096,88,8.960867881774902
1642197665.036462,89,9.070719718933105
1642197696.9365046,90,8.96368408203125
1642197728.46257,91,8.72006607055664
1642197760.2185092,92,8.673377990722656
1642197792.017225,93,8.890512466430664
1642197823.4494114,94,9.07248592376709
1642197855.0861266,95,9.07248592376709
1642197886.7289922,96,9.054348945617676
1642197918.528765,97,8.274002075195312
1642197950.1987617,98,8.960405349731445
1642197981.8774598,99,8.731402397155762
1642198013.605414,100,8.998876571655273
