Wall time,Step,Value
1642172463.6250107,1,2.7384724617004395
1642172486.107084,2,-8.455292701721191
1642172509.1401849,3,-8.267348289489746
1642172532.5203063,4,5.517981052398682
1642172555.7754147,5,-5.846792697906494
1642172579.2939873,6,-10.86532974243164
1642172602.6954112,7,2.902376413345337
1642172626.2647672,8,3.241586685180664
1642172649.7556498,9,2.7133419513702393
1642172673.1604192,10,2.7417349815368652
1642172696.6302247,11,2.927203893661499
1642172719.9713252,12,2.848374843597412
1642172743.3174863,13,1.9196282625198364
1642172766.7900383,14,2.7044501304626465
1642172790.3413963,15,1.8370366096496582
1642172813.881808,16,2.52540922164917
1642172837.1182396,17,3.0304696559906006
1642172860.4822729,18,2.927448272705078
1642172883.7817838,19,2.663499355316162
1642172907.0851693,20,2.950504779815674
1642172930.7064788,21,2.64959979057312
1642172954.1332572,22,2.7995150089263916
1642172977.5688744,23,2.859821319580078
1642173000.9757931,24,2.8863513469696045
1642173024.1757042,25,3.0964131355285645
1642173047.501864,26,2.8689987659454346
1642173070.8801448,27,2.905048370361328
1642173094.3306427,28,3.066021680831909
1642173117.7646194,29,2.9109749794006348
1642173140.994585,30,2.8773250579833984
1642173164.3583057,31,3.0304696559906006
1642173187.8722901,32,2.9139533042907715
1642173211.197845,33,2.7096633911132812
1642173234.6424065,34,2.963804006576538
1642173258.0494707,35,1.7821863889694214
1642173281.4511828,36,2.6278042793273926
1642173304.9348617,37,2.8886373043060303
1642173328.3210795,38,2.7133419513702393
1642173351.7362285,39,2.663499355316162
1642173375.0246897,40,2.843299150466919
1642173398.3745067,41,3.0486693382263184
1642173421.8895073,42,3.0133743286132812
1642173445.1153305,43,2.9073071479797363
1642173468.5495536,44,2.887615442276001
1642173491.9724035,45,2.3587746620178223
1642173515.4920754,46,2.2001609802246094
1642173538.9305856,47,2.2727739810943604
1642173562.540332,48,3.0332672595977783
1642173585.9897633,49,3.1318862438201904
1642173609.5203226,50,2.3536016941070557
1642173633.1797726,51,2.9429080486297607
1642173656.5936306,52,2.663499355316162
1642173680.0108385,53,2.950504779815674
1642173703.5565782,54,2.887615442276001
1642173726.949205,55,2.7995150089263916
1642173750.4514806,56,2.850374937057495
