Wall time,Step,Value
1641989434.1782255,1,-14.683206558227539
1641989454.3986151,2,-17.504497528076172
1641989474.3410144,3,-10.270951271057129
1641989494.6929781,4,-0.16348884999752045
1641989514.8199825,5,5.965387344360352
1641989536.1466997,6,-10.4353666305542
1641989557.088918,7,2.994255781173706
1641989577.5250905,8,2.537503242492676
1641989598.1671193,9,2.567045211791992
1641989618.4733434,10,3.0881173610687256
1641989638.655573,11,2.686884641647339
1641989659.443162,12,3.0830421447753906
1641989680.2314887,13,2.854365110397339
1641989700.0045033,14,2.850374937057495
1641989721.6402545,15,3.0354201793670654
1641989742.307994,16,2.954493522644043
1641989762.8624196,17,2.6585094928741455
1641989782.8757079,18,2.663499355316162
1641989805.700247,19,1.6404494047164917
1641989826.3312466,20,2.776423931121826
1641989846.9343216,21,2.8716397285461426
1641989867.6033738,22,2.859361410140991
1641989889.8467033,23,2.814523935317993
1641989911.3318906,24,2.850374937057495
1641989932.0062306,25,2.827291488647461
1641989952.711484,26,1.7821863889694214
1641989973.4598055,27,2.4623935222625732
1641989994.1684635,28,2.9109749794006348
1641990014.9621933,29,3.0964131355285645
1641990035.7492642,30,2.8716397285461426
1641990056.5260165,31,3.1352620124816895
1641990077.313135,32,2.854365110397339
1641990098.0895178,33,2.8625307083129883
1641990119.8361943,34,2.1600682735443115
1641990140.6306114,35,2.8625307083129883
1641990163.66904,36,2.8322136402130127
1641990186.457661,37,2.663499355316162
1641990207.0350182,38,2.854365110397339
1641990227.8962824,39,1.7821863889694214
1641990248.8619366,40,2.7725110054016113
1641990269.6959107,41,2.927203893661499
1641990290.982985,42,2.966257095336914
1641990311.832162,43,2.963804006576538
1641990332.6924262,44,3.0354201793670654
1641990353.4735403,45,1.9196282625198364
1641990374.2460225,46,2.979135036468506
1641990395.0919554,47,2.6585094928741455
1641990415.871523,48,2.7725110054016113
1641990436.6457686,49,2.7995150089263916
1641990457.4933288,50,2.927203893661499
1641990478.3820457,51,2.9139533042907715
1641990499.6510577,52,2.7995150089263916
1641990521.7479472,53,2.531151056289673
1641990542.5593503,54,2.859361410140991
1641990563.3865807,55,2.3167617321014404
1641990584.1154397,56,2.859821319580078
1641990604.8941975,57,5.996699810028076
1641990625.8217847,58,3.4263219833374023
1641990647.7856646,59,2.62263560295105
1641990668.6200378,60,3.896519660949707
1641990689.6942487,61,5.996699810028076
1641990712.418526,62,3.267305612564087
1641990733.8574963,63,3.1286163330078125
1641990754.827789,64,2.927203893661499
1641990775.8393414,65,3.6067402362823486
1641990796.8563979,66,3.3336057662963867
1641990817.906569,67,4.027946949005127
1641990837.9238276,68,1.9628398418426514
1641990858.527277,69,4.314148902893066
1641990879.3903682,70,2.9139533042907715
1641990900.2507417,71,3.902649402618408
1641990921.623388,72,2.7995150089263916
1641990942.3242571,73,2.6015729904174805
1641990963.3503737,74,3.647697687149048
1641990984.7045178,75,3.8953239917755127
1641991005.498478,76,2.8512585163116455
1641991026.280148,77,0.5815614461898804
1641991047.0769103,78,3.0254673957824707
1641991067.8276887,79,4.761567115783691
1641991089.6868753,80,3.1128387451171875
1641991110.5713868,81,-0.525083065032959
1641991131.210617,82,2.1736674308776855
1641991151.0192025,83,3.4799580574035645
1641991171.7396805,84,5.789495468139648
1641991192.450742,85,8.203825950622559
1641991213.1476657,86,-14.575345039367676
1641991233.9094863,87,2.4623935222625732
1641991254.7448032,88,3.1052050590515137
1641991275.6064937,89,5.408914566040039
1641991296.3884556,90,-10.295063018798828
1641991316.6790109,91,-0.99554443359375
1641991337.7781425,92,1.845202088356018
1641991358.557794,93,2.865147829055786
1641991379.4261281,94,5.8919525146484375
1641991401.364811,95,3.0585877895355225
1641991421.134354,96,2.7995150089263916
1641991441.6959085,97,3.3128645420074463
1641991463.145328,98,3.112452983856201
1641991483.432009,99,2.7133419513702393
1641991504.262587,100,-2.4388089179992676
1641991525.0676045,101,6.491959571838379
1641991544.7419093,102,-1.5833994150161743
1641991565.4609125,103,-16.241838455200195
1641991586.9386935,104,-3.3762054443359375
1641991608.5570178,105,7.51820182800293
1641991629.3441167,106,8.312965393066406
1641991650.1264973,107,5.998342514038086
1641991670.8414094,108,8.182360649108887
