Wall time,Step,Value
1641976841.6867728,1,4.792084217071533
1641976862.480227,2,-4.032833576202393
1641976882.5031059,3,-4.212891101837158
1641976902.6383517,4,2.1077075004577637
1641976923.094472,5,-23.770973205566406
1641976943.2466497,6,3.8272008895874023
1641976963.3956234,7,8.88210678100586
1641976983.8018854,8,1.159422516822815
1641977004.0353532,9,-0.9798029661178589
1641977024.3670933,10,7.979077339172363
1641977045.025182,11,7.488117694854736
1641977065.3594415,12,8.520889282226562
1641977085.7825239,13,8.962118148803711
1641977106.0927396,14,7.955860137939453
1641977126.2959073,15,7.639357566833496
1641977146.6285768,16,5.470931529998779
1641977167.0270076,17,8.642800331115723
1641977187.4413729,18,8.854165077209473
1641977207.8104577,19,8.538808822631836
1641977228.1979444,20,8.290706634521484
1641977248.4873602,21,6.263486862182617
1641977268.8720832,22,8.823270797729492
1641977289.1164675,23,8.19739055633545
1641977309.4066298,24,5.344817161560059
1641977329.734012,25,8.83817195892334
1641977349.9514618,26,-5.031067848205566
1641977370.2097476,27,6.59637451171875
1641977390.6093457,28,2.5844662189483643
1641977410.7735517,29,8.96368408203125
1641977431.1025097,30,3.886725902557373
1641977451.199655,31,8.959089279174805
1641977471.946401,32,8.943122863769531
1641977492.3401113,33,8.682835578918457
1641977512.6591523,34,8.743210792541504
1641977532.9889238,35,8.53974437713623
1641977553.2759047,36,8.465181350708008
1641977573.803237,37,8.664392471313477
1641977594.2322955,38,9.037093162536621
1641977614.6752427,39,6.909272193908691
1641977634.985377,40,8.639769554138184
1641977655.6610556,41,8.524298667907715
1641977676.1235304,42,8.992937088012695
1641977696.6481295,43,7.8873982429504395
1641977716.9876804,44,8.906525611877441
1641977737.2543252,45,8.465792655944824
1641977757.48714,46,8.508589744567871
1641977778.3498461,47,6.912066459655762
1641977799.5629675,48,8.596999168395996
1641977822.918163,49,8.92779541015625
1641977845.3246787,50,6.527066707611084
1641977868.0338573,51,8.75041675567627
1641977890.694751,52,8.63497257232666
1641977913.354674,53,8.55703067779541
1641977935.970634,54,8.512880325317383
1641977957.9510717,55,6.958223819732666
1641977980.1506522,56,8.497762680053711
1641978002.8473682,57,8.736693382263184
1641978025.6527524,58,8.71018123626709
1641978047.9733799,59,8.554366111755371
1641978070.6718662,60,8.876346588134766
1641978093.3373475,61,6.742246627807617
1641978116.0029523,62,8.880880355834961
1641978138.8184168,63,8.71018123626709
1641978161.360961,64,8.823270797729492
1641978183.2305415,65,8.537403106689453
1641978206.2385278,66,8.639769554138184
1641978230.8222995,67,8.766523361206055
1641978251.512184,68,8.116707801818848
1641978272.165067,69,8.766523361206055
1641978292.7521431,70,8.682835578918457
1641978313.2145953,71,8.849997520446777
1641978333.9174433,72,8.175125122070312
1641978354.2458532,73,8.627151489257812
1641978374.6436594,74,9.01838493347168
1641978395.0846486,75,8.223668098449707
1641978415.4274733,76,8.46168327331543
1641978435.8541944,77,8.603567123413086
1641978456.5602658,78,8.356797218322754
1641978476.8724966,79,8.138561248779297
1641978497.7160735,80,9.039729118347168
1641978518.2628276,81,8.504773139953613
1641978538.7434862,82,8.758780479431152
1641978559.2034678,83,9.068686485290527
1641978579.729168,84,8.699165344238281
1641978600.4027808,85,8.96368408203125
1641978620.9507284,86,8.828319549560547
1641978641.3319066,87,8.694695472717285
1641978661.7443717,88,8.734130859375
1641978682.071403,89,8.752425193786621
1641978702.4762163,90,8.688152313232422
1641978722.964233,91,9.073698043823242
1641978743.6513774,92,8.274002075195312
1641978764.1558268,93,8.603567123413086
1641978784.7487254,94,9.080084800720215
1641978805.4164977,95,8.43118953704834
1641978826.0789683,96,8.43118953704834
1641978846.4926443,97,8.648151397705078
1641978867.0356436,98,8.599992752075195
1641978887.5779572,99,8.740554809570312
1641978908.140544,100,8.59070873260498
1641978928.5524716,101,9.081656455993652
1641978949.0031314,102,8.968944549560547
1641978969.4842668,103,8.465181350708008
1641978990.0071895,104,9.09292221069336
1641979010.5352297,105,9.10108757019043
1641979031.3001907,106,8.876346588134766
1641979052.790553,107,8.634261131286621
1641979074.6308265,108,8.223668098449707
1641979097.1383893,109,8.824471473693848
1641979119.7043552,110,8.737879753112793
1641979142.667137,111,8.551475524902344
1641979169.7838016,112,8.85224723815918
1641979190.9395912,113,8.118782043457031
1641979211.5636497,114,8.897045135498047
1641979232.615975,115,8.708888053894043
1641979253.9238365,116,8.830293655395508
1641979275.731556,117,8.330965042114258
1641979298.3399477,118,8.878926277160645
1641979322.023858,119,8.116707801818848
1641979345.6395266,120,8.613418579101562
1641979369.168298,121,9.081523895263672
1641979394.3726995,122,8.758780479431152
1641979417.2403023,123,9.10108757019043
1641979439.8039494,124,8.663637161254883
1641979463.345373,125,8.93564510345459
1641979486.676423,126,8.533348083496094
1641979510.1331356,127,8.603567123413086
1641979533.1663597,128,9.10108757019043
1641979554.7796693,129,8.809770584106445
1641979579.333911,130,9.09292221069336
1641979602.3257155,131,8.223668098449707
1641979625.1946182,132,9.10108757019043
1641979648.1521358,133,8.64469051361084
1641979673.99327,134,8.82908821105957
1641979696.2314048,135,8.682835578918457
1641979722.1614034,136,8.7848539352417
1641979744.915312,137,8.871859550476074
1641979767.7383726,138,8.878975868225098
1641979790.6113615,139,8.659667015075684
1641979815.0812578,140,8.494195938110352
1641979840.4232526,141,8.735551834106445
1641979866.5655322,142,8.766523361206055
1641979890.3492744,143,7.9430832862854
1641979913.8887367,144,8.758780479431152
1641979937.2553086,145,8.878156661987305
1641979960.56012,146,8.603567123413086
1641979984.1677597,147,9.10108757019043
1641980008.2931232,148,7.843542098999023
